,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
93,625.0,203.97,220.55,381.66,645.0,102.67,426.14,645.0,645.0,625.0,625.0,645.0
94,203.97,220.55,381.66,645.0,102.67,426.14,645.0,645.0,625.0,625.0,645.0,645.0
95,220.55,381.66,645.0,102.67,426.14,645.0,645.0,625.0,625.0,645.0,645.0,494.6
96,381.66,645.0,102.67,426.14,645.0,645.0,625.0,625.0,645.0,645.0,494.6,220.69
97,645.0,102.67,426.14,645.0,645.0,625.0,625.0,645.0,645.0,494.6,220.69,221.56
98,102.67,426.14,645.0,645.0,625.0,625.0,645.0,645.0,494.6,220.69,221.56,494.6
99,426.14,645.0,645.0,625.0,625.0,645.0,645.0,494.6,220.69,221.56,494.6,488.28
100,645.0,645.0,625.0,625.0,645.0,645.0,494.6,220.69,221.56,494.6,488.28,507.25
101,645.0,625.0,625.0,645.0,645.0,494.6,220.69,221.56,494.6,488.28,507.25,487.51
102,625.0,625.0,645.0,645.0,494.6,220.69,221.56,494.6,488.28,507.25,487.51,170.33
103,625.0,645.0,645.0,494.6,220.69,221.56,494.6,488.28,507.25,487.51,170.33,146.4
104,645.0,645.0,494.6,220.69,221.56,494.6,488.28,507.25,487.51,170.33,146.4,450.1
105,645.0,494.6,220.69,221.56,494.6,488.28,507.25,487.51,170.33,146.4,450.1,450.1
106,494.6,220.69,221.56,494.6,488.28,507.25,487.51,170.33,146.4,450.1,450.1,450.1
107,220.69,221.56,494.6,488.28,507.25,487.51,170.33,146.4,450.1,450.1,450.1,453.46
108,221.56,494.6,488.28,507.25,487.51,170.33,146.4,450.1,450.1,450.1,453.46,625.0
109,494.6,488.28,507.25,487.51,170.33,146.4,450.1,450.1,450.1,453.46,625.0,625.0
110,488.28,507.25,487.51,170.33,146.4,450.1,450.1,450.1,453.46,625.0,625.0,216.92
111,507.25,487.51,170.33,146.4,450.1,450.1,450.1,453.46,625.0,625.0,216.92,434.5
112,487.51,170.33,146.4,450.1,450.1,450.1,453.46,625.0,625.0,216.92,434.5,427.03
113,170.33,146.4,450.1,450.1,450.1,453.46,625.0,625.0,216.92,434.5,427.03,221.74
114,146.4,450.1,450.1,450.1,453.46,625.0,625.0,216.92,434.5,427.03,221.74,427.0
115,450.1,450.1,450.1,453.46,625.0,625.0,216.92,434.5,427.03,221.74,427.0,216.08
116,450.1,450.1,453.46,625.0,625.0,216.92,434.5,427.03,221.74,427.0,216.08,428.67
117,450.1,453.46,625.0,625.0,216.92,434.5,427.03,221.74,427.0,216.08,428.67,211.78
118,453.46,625.0,625.0,216.92,434.5,427.03,221.74,427.0,216.08,428.67,211.78,390.65
119,625.0,625.0,216.92,434.5,427.03,221.74,427.0,216.08,428.67,211.78,390.65,365.31
120,625.0,216.92,434.5,427.03,221.74,427.0,216.08,428.67,211.78,390.65,365.31,222.99
121,216.92,434.5,427.03,221.74,427.0,216.08,428.67,211.78,390.65,365.31,222.99,223.7
122,434.5,427.03,221.74,427.0,216.08,428.67,211.78,390.65,365.31,222.99,223.7,362.09
123,427.03,221.74,427.0,216.08,428.67,211.78,390.65,365.31,222.99,223.7,362.09,361.55
124,221.74,427.0,216.08,428.67,211.78,390.65,365.31,222.99,223.7,362.09,361.55,383.83
